firstname,lastname,club,position,basesalary,guaranteedcomp
Tadeo,Allende,MIA,F,"$625,000.00","$1,000,000.00"
Telasco,Segovia,MIA,M,"$325,000.00","$360,000.00"
Tyler,Hall,MIA,D,"$113,400.00","$113,400.00"
Yannick,Bright,MIA,M,"$385,000.00","$464,192.00"
Benja,Cremaschi,MIA,M,"$425,000.00","$527,500.00"
Ascel,Essengue,LA,D,"$88,025.00","$88,025.00"
Brady,Scott,LA,GK,"$113,400.00","$113,400.00"
Carlos,Garcés,LA,D,"$480,000.00","$518,000.00"
Chris,Rindov,LA,D,"$113,400.00","$122,150.00"
Edwin,Cerrillo,LA,M,"$650,000.00","$662,500.00"
Elijah,Wynder,LA,M,"$325,000.00","$352,208.00"
Erik,Thommy,LA,M,"$600,000.00","$706,667.00"
Gabriel,Fortes Chaves,LA,F,"$1,680,000.00","$2,459,000.00"
Gino,Vivi,LA,F,"$113,400.00","$113,400.00"
Harbor,Miller,LA,D,"$88,025.00","$88,025.00"
Isaiah,Parente,LA,M,"$113,400.00","$113,400.00"
Jakob,Glesnes,LA,D,"$826,087.00","$1,268,503.00"
João,Klauss de Mello,LA,F,"$2,187,500.00","$2,915,000.00"
John,Nelson,LA,D,"$350,000.00","$350,000.00"
Joseph,Paintsil,LA,F,"$3,456,000.00","$4,502,000.00"
JT,Marcinkowski,LA,GK,"$302,000.00","$302,000.00"
Julián,Aude,LA,D,"$375,000.00","$385,000.00"
Justin,Haak,LA,D,"$752,841.00","$810,561.00"
Lucas,Sanabria,LA,M,"$640,000.00","$742,800.00"
Marco,Reus,LA,M,"$604,364.00","$902,364.00"
Matheus,Nascimento de Paula,LA,F,"$650,000.00","$707,000.00"
Mauricio,Cuevas,LA,D,"$250,000.00","$268,500.00"
Maya,Yoshida,LA,D,"$640,000.00","$715,781.00"
Miki,Yamane,LA,D,"$850,000.00","$916,667.00"
Novak,Mićović,LA,GK,"$200,000.00","$200,000.00"
Ricard,Puig Martí,LA,M,"$5,125,000.00","$5,792,188.00"
Riley,Dalgado,LA,D,"$88,025.00","$88,025.00"
Rubén,Ramos,LA,M,"$113,400.00","$113,400.00"
Tucker,Lepley,LA,M,"$113,400.00","$115,086.00"
Aaron,Long,LAFC,D,"$445,000.00","$1,050,000.00"
Adrian,Wibowo,LAFC,F,"$113,400.00","$113,400.00"
Amin,Boudri,LAFC,M,"$650,000.00","$742,000.00"
Artem,Smolyakov,LAFC,D,"$550,000.00","$613,297.00"
Cabral,Carter,LAFC,GK,"$88,025.00","$91,775.00"
Christian,Díaz,LAFC,D,"$88,025.00","$88,025.00"
