RecordID,PlayerID,Club,Position,BaseSalary,GuaranteedComp,Year
J75nhnCR,Qh1emp,KC,M,"36504.0","36504.0",2014
WvG8Chkz,BzEOoG,POR,D,"63999.96","68999.96",2013
val5O2yj,BzEOoG,POR,D,"240000.0","245000.0",2014
HJFNUB67,BzEOoG,VAN,D,"170000.0","170000.0",2015
hiuro9B5,BzEOoG,VAN,D,"97000.0","101850.0",2016
Pgqpb6nF,87f2Ll,CLT,GK,"425000.00","451875.00",2022
fj59eqQn,87f2Ll,CLT,GK,"500000.00","526875.00",2023
G7Fgnj34,87f2Ll,CLT,GK,"550000.00","576875.00",2024
2OxbPB5O,87f2Ll,CLT,GK,"750000.00","788750.00",2025 Sp
jCdM0L97,fduNkL,CHV,D,"48504.0","48504.0",2014
dhiZKprb,OCvbCv,ORL,M,"6660000.0","7167500.0",2014
A6mj9Ipl,OCvbCv,ORL,M,"6660000.0","7167500.0",2015
4PoAQgmV,OCvbCv,ORL,M,"6660000.0","7167500.0",2016
CqNCg9TF,OCvbCv,ORL,M,"6660000.0","7167500.0",2017
YzrZAVpN,iZoZT0,RBNY,M,"709090.80","709090.80",2018
04gRfuft,iZoZT0,RBNY,M-F,"799999.92","799999.92",2019
LS8mHftp,iZoZT0,RBNY,M,"850000.00","850000.00",2020
j3CFlK0j,Jc1wl4,MNUFC,D,"65004.0","68295.67",2017
ty0bGha2,Jc1wl4,MNUFC,D,"82500.00","85791.67",2018
ZycsYMF3,Jc1wl4,MNUFC,D,"118000.08","151531.33",2019
20dfeo3C,Jc1wl4,MNUFC,D,"200000.00","233531.00",2020
L6jNFItd,Jc1wl4,MNUFC,D,"150000.00","158125.00",2021
cMFsDXQN,Jc1wl4,MNUFC,D,"160000.00","168000.00",2022
fAOUO0i3,Jc1wl4,MNUFC,D,"160000.00","168000.00",2023
oUGUkHzI,Jc1wl4,NSH,D,"89716.00","89716.00",2024
C1wcddia,1chmpX,DC,F,"51500.04","59750.04",2016
cyfbNctg,1chmpX,DC,F,"80000.0","88250.0",2017
vfw91ucb,t8lnZL,CLB,F,"33000.0","43000.0",2007
eqBnwVKw,t8lnZL,HOU,F,"47850.0","57850.0",2008
TCYRNxa0,t8lnZL,KC,F,"55385.0","65385.0",2009
9KcNYaQn,t8lnZL,KC,F,"180000.0","182500.0",2010
7uzCNs3z,t8lnZL,KC,F,"200000.0","202500.0",2011
PI7ItVeu,t8lnZL,KC,F,"210000.0","212500.0",2012
jBn6R9Av,t8lnZL,CLB,F,"400000.0","536666.67",2015
YVTUa1Nt,t8lnZL,NE,F,"1000000.0","1000000.0",2016
1ldY5eFz,t8lnZL,NE,F,"800000.0","800000.0",2017
USXxyQVd,t8lnZL,VAN,F,"1000000.00","1000000.00",2018
1kDNKW4g,t8lnZL,COL,F,"750000.00","750000.00",2019
hVLH1Uo7,t8lnZL,MNUFC,F,"750000.00","750000.00",2020
m7wR7va8,t8lnZL,MTL,F,"84000.00","94000.00",2022
z5QQsBuG,t8lnZL,CHI,F,"200000.00","210000.00",2023
vjFBRsko,t8lnZL,LAFC,F,"89716.00","89716.00",2024
j7T8yFmH,NrtQZ3,CLB,F,"425000.0","457500.0",2016
e6HhoLiM,NrtQZ3,CLB,F,"450000.0","482500.0",2017
g3nFKbIS,NrtQZ3,LA,F,"825000.00","925000.00",2018
o5MirOlT,NrtQZ3,DC,M-F,"240000.00","260000.00",2019
FSgRirBs,NrtQZ3,DC,F,"400000.00","420000.00",2020
7B4i4cfY,NrtQZ3,DC,F,"400000.00","420000.00",2021
kZJIiUGW,NrtQZ3,DC,F,"1500000.00","1520000.00",2022
remfya6H,PG7ink,DAL,M,"84000.00","84000.00",2022
MoRBHW4A,PG7ink,DAL,M,"85444.00","85444.00",2023
W5vd48Ka,PG7ink,DAL,F,"89716.00","89716.00",2024
qdvYaZ9N,PG7ink,DAL,F,"225000.00","256000.00",2025 Sp
RuaxSxEl,l6cfth,RBNY,F,"36000.0","56988.37",2008
3TlRMsPp,l6cfth,RBNY,F,"70000.0","90988.37",2009
zQqWMoXj,l6cfth,RBNY,F,"85000.0","112988.37",2010
PnupvZQA,l6cfth,COL,F,"120000.0","147988.37",2011
DqPdOiRb,l6cfth,HOU,F,"135000.0","162988.37",2012
dLgt9Gmf,k0GAgw,CHI,GK,"35125.0","35125.0",2013
rM9vjQpx,k0GAgw,CHI,GK,"48500.0","48500.0",2014
MmfSZZQR,k0GAgw,CHI,GK,"60000.0","60000.0",2015
e5NfGUwW,k0GAgw,KC,GK,"63000.0","63000.0",2016
EbDsmLze,k0GAgw,ATL,GK,"77004.0","77004.0",2017
loUmnD2o,k0GAgw,ATL,GK,"94008.00","94008.00",2018
ki9iW0Qw,k0GAgw,ATL,GK,"100008.00","100008.00",2019
yJb55cKr,k0GAgw,ATL,GK,"110000.00","110000.00",2020
Z1arhMmx,k0GAgw,ATL,GK,"115000.00","115000.00",2021
s8NHe9w0,k0GAgw,CIN,GK,"200000.00","220833.00",2022
Bq2lgaYe,k0GAgw,CIN,GK,"200000.00","220833.00",2023
xeFZAyLP,k0GAgw,CIN,GK,"250000.00","270833.00",2024
x9LWU8kr,k0GAgw,CIN,GK,"192500.00","192500.00",2025 Sp
1iF1QdpH,QXaCQl,TOR,D,"300000.0","345000.0",2015
yHOVCbhR,SLbMRw,MNUFC,GK,"55654.20","55654.20",2018
wISfcmcq,NkIN91,CHI,D,"480000.0","520000.0",2016
ChPnqZBH,NkIN91,CHI,D,"530000.0","570000.0",2017
estlTP2w,NkIN91,CHI,D,"555000.00","595000.00",2018
70xoPXXC,NkIN91,CHI,D,"549999.96","577833.29",2019
efQirgrm,NkIN91,CHI,D,"575000.00","602833.00",2020
Ev0WvfJU,NkIN91,CHI,D-M,"462500.00","490333.00",2021
HmLJFA28,NkIN91,RSL,D-M,"260000.00","287000.00",2022
