FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Geovane,de Jesus Rocha,FC Dallas,D,"350,000.00","397,000.00"
Patrickson,Delgado,FC Dallas,M,"234,000.00","260,280.00"
Herbert,Endeley,FC Dallas,D,"104,000.00","104,000.00"
Marco,Farfán,FC Dallas,D,"550,000.00","582,813.00"
Logan,Farrington,FC Dallas,F,"104,000.00","141,493.00"
Pedro Henrique,Fonseca de Araújo Martins,FC Dallas,F,"104,000.00","104,000.00"
Diego,García,FC Dallas,M,"80,622.00","94,263.00"
Sebastien,Ibeagha,FC Dallas,D,"675,000.00","738,625.00"
Anderson,Julio,FC Dallas,F,"750,000.00","820,000.00"
Bernard,Kamungo,FC Dallas,F,"225,000.00","256,000.00"
Sebastian,Lletget,FC Dallas,M,"800,000.00","891,250.00"
Malachi,Molina,FC Dallas,D,"80,622.00","93,338.00"
Shaq,Moore,FC Dallas,D,"700,000.00","770,000.00"
Ramiro,Moschen Benetti,FC Dallas,M,"500,000.00","500,000.00"
Petar,Musa,FC Dallas,F,"2,250,000.00","2,680,000.00"
Enzo,Newman,FC Dallas,D,"80,622.00","80,622.00"
Nolan,Norris,FC Dallas,D,"125,000.00","143,642.00"
Tsiki,Ntsabeleng,FC Dallas,M,"200,000.00","227,000.00"
Maarten,Paes,FC Dallas,GK,"450,000.00","522,000.00"
Paxton,Pomykal,FC Dallas,M,"1,050,000.00","1,158,000.00"
Tomas,Pondeca,FC Dallas,M,"80,622.00","80,622.00"
Anthony,Ramírez,FC Dallas,F,"80,622.00","80,622.00"
Carl,Sainté,FC Dallas,M,"80,622.00","80,622.00"
Enes,Sali,FC Dallas,F,"325,000.00","370,000.00"
Tarik,Scott,FC Dallas,F,"140,000.00","155,942.00"
Osaze,Urhoghide,FC Dallas,D,"580,000.00","643,982.00"
Alejandro,Urzua,FC Dallas,M,"80,622.00","80,622.00"
Diego,Pepi,FC Dallas,F,"80,622.00","80,622.00"
